ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,day_of_week,bike_type,costumer_type
87A580808AC179DF,1/1/2021 6:55:00,1/1/2021 6:59:00,Sedgwick St & Huron St,LaSalle St & Illinois St,0:04:13,6,classic_bike,member
0A16D21A06D0964A,1/1/2021 6:55:00,1/1/2021 7:33:00,Elston Ave & Wabansia Ave,Clarendon Ave & Gordon Ter,0:37:35,6,classic_bike,member
9F745C47D9C17AFF,1/1/2021 6:57:00,1/1/2021 7:12:00,Wells St & Polk St,Ogden Ave & Congress Pkwy,0:14:41,6,classic_bike,member
B0AF4634D8EC3B00,1/1/2021 6:59:00,1/1/2021 7:03:00,Clark St & Chicago Ave,Mies van der Rohe Way & Chicago Ave,0:03:47,6,classic_bike,member
6B74DC885CDF47AC,1/1/2021 6:59:00,1/1/2021 7:19:00,Racine Ave & Belmont Ave,Ashland Ave & Blackhawk St,0:19:55,6,classic_bike,member
F7EAD4C4BC45EDDE,1/1/2021 7:00:00,1/1/2021 7:24:00,Clark St & Newport St,Lake Shore Dr & Wellington Ave,0:24:21,6,classic_bike,member
12100C60FF51B57D,1/1/2021 7:01:00,1/1/2021 7:21:00,Kedzie Ave & Milwaukee Ave,Ashland Ave & Division St,0:19:52,6,classic_bike,member
A43808CB5AD51C8B,1/1/2021 7:02:00,1/1/2021 7:11:00,Clybourn Ave & Division St,Ashland Ave & Division St,0:09:31,6,classic_bike,casual
68A669CC375EDB03,1/1/2021 7:07:00,1/1/2021 7:23:00,,,0:16:39,6,electric_bike,member
947ED5B60D5F510E,1/1/2021 7:07:00,1/1/2021 7:38:00,Central Park Ave & Bloomingdale Ave,Clark St & Drummond Pl,0:30:33,6,classic_bike,casual
1237819BF3886E8A,1/1/2021 7:11:00,1/1/2021 7:23:00,2112 W Peterson Ave,,0:11:50,6,electric_bike,member
10E146A62B647EF9,1/1/2021 7:19:00,1/1/2021 7:27:00,,,0:07:48,6,electric_bike,member
377FDF5B8EAB8624,1/1/2021 7:21:00,1/1/2021 7:24:00,Clinton St & Lake St,Desplaines St & Kinzie St,0:03:25,6,electric_bike,member
